playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,penalties,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xGoals,OnIce_A_xGoals,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,total_icetime,total_goals,total_primary_assists,total_secondary_assists,total_points,total_shots,total_hits,total_takeaways,total_giveaways,total_blocks,total_toi_per_game,pp_toi_per_game,pp_goals,pp_points,pp_shots,pp_xgoals,pp_on_ice_xgoals,pp_on_ice_xgoals_percentage,pp_points_per_60,pp_blocks,pp_takeaways,pp_xgoals_against_per_60,pk_toi_per_game,pk_goals,pk_points,pk_shots,pk_xgoals,pk_on_ice_xgoals,pk_on_ice_xgoals_percentage,pk_points_per_60,pk_blocks,pk_takeaways,pk_xgoals_against_per_60,toi_per_game,goals_per_game,primary_assists_per_game,secondary_assists_per_game,points_per_game,shots_per_game,expected_goals_per_game,hits_per_game,takeaways_per_game,giveaways_per_game,blocks_per_game,goals_per_60,points_per_60,shots_per_60,expected_goals_per_60,on_ice_xgoals_for_per_60,on_ice_xgoals_against_per_60,hits_per_60,takeaways_per_60,giveaways_per_60,blocks_per_60,position_group,points_per_game_percentile,goals_per_60_percentile,points_per_60_percentile,shots_per_60_percentile,expected_goals_per_60_percentile,hits_per_60_percentile,takeaways_per_60_percentile,blocks_per_60_percentile,onIce_xGoalsPercentage_percentile,onIce_corsiPercentage_percentile,onIce_fenwickPercentage_percentile
8478043,2025,Sam Lafferty,CHI,C,5on5,29,14856.0,351.0,0.83,1.0,0.0,1.0,2.0,9.0,0.85,35.0,2.0,15.0,2.0,1.0,5.0,5.44,8.32,0.4,0.47,0.45,14959.0,1.0,0.0,1.0,2.0,9.0,35.0,2.0,15.0,5.0,8.6,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.54,0.03,0.0,0.03,0.07,0.31,0.03,1.21,0.07,0.52,0.17,0.24,0.48,2.18,0.21,1.32,2.02,8.48,0.48,3.63,1.21,F,12.0,21.0,13.0,4.0,4.0,70.0,19.0,16.0,10.0,34.0,19.0
8484262,2025,Travis Mitchell,NYI,D,5on5,9,6152.0,142.0,-0.7,1.0,0.0,0.0,1.0,4.0,0.38,13.0,0.0,5.0,3.0,2.0,6.0,2.68,4.12,0.39,0.39,0.4,6230.0,1.0,0.0,0.0,1.0,4.0,13.0,0.0,6.0,6.0,11.54,,,,,,,,,,,,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,11.39,0.11,0.0,0.0,0.11,0.44,0.04,1.44,0.0,0.56,0.67,0.59,0.59,2.34,0.22,1.57,2.41,7.61,0.0,2.93,3.51,D,24.0,98.0,33.0,12.0,78.0,93.0,7.0,34.0,9.0,6.0,7.0
8475790,2025,Erik Gudbranson,CBJ,D,5on5,37,32374.0,656.0,-1.55,1.0,2.0,0.0,3.0,32.0,1.04,38.0,6.0,29.0,7.0,5.0,50.0,16.49,25.85,0.39,0.41,0.41,39452.0,1.0,2.0,0.0,3.0,34.0,45.0,7.0,33.0,64.0,17.77,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.71,0.0,0.0,2.0,0.07,1.38,0.097,0.0,0.0,1.0,7.73,14.58,0.03,0.05,0.0,0.08,0.86,0.03,1.03,0.16,0.78,1.35,0.11,0.33,3.56,0.12,1.83,2.87,4.23,0.67,3.22,5.56,D,18.0,44.0,17.0,50.0,27.0,67.0,41.0,87.0,9.0,8.0,8.0
8478975,2025,Mason Marchment,CBJ,L,5on5,68,59536.0,1197.0,44.55,14.0,13.0,8.0,35.0,94.0,11.98,77.0,26.0,78.0,19.0,17.0,27.0,43.83,37.34,0.54,0.51,0.51,70877.0,19.0,13.0,13.0,45.0,119.0,84.0,29.0,86.0,28.0,17.37,2.25,3.0,7.0,18.0,1.82,17.06,0.883,2.75,0.0,2.0,0.89,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49,14.59,0.21,0.19,0.12,0.51,1.38,0.18,1.13,0.38,1.15,0.4,0.85,2.12,5.68,0.72,2.65,2.26,4.66,1.57,4.72,1.63,F,91.0,76.0,85.0,48.0,61.0,45.0,91.0,33.0,80.0,68.0,66.0
8480196,2025,Jacob Bryson,WPG,D,5on5,50,31545.0,742.0,4.45,2.0,4.0,2.0,8.0,21.0,1.05,13.0,5.0,17.0,5.0,4.0,26.0,21.07,21.3,0.5,0.47,0.46,32589.0,2.0,4.0,2.0,8.0,22.0,14.0,5.0,17.0,29.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,4.33,10.51,0.04,0.08,0.04,0.16,0.42,0.02,0.26,0.1,0.34,0.52,0.23,0.91,2.4,0.12,2.4,2.43,1.48,0.57,1.94,2.97,D,37.0,71.0,65.0,13.0,27.0,26.0,30.0,20.0,59.0,36.0,27.0
8478970,2025,Jalen Chatfield,CAR,D,5on5,72,73949.0,1520.0,40.7,2.0,6.0,8.0,16.0,87.0,4.05,29.0,22.0,62.0,7.0,2.0,44.0,55.79,52.22,0.52,0.58,0.57,87001.0,2.0,6.0,9.0,17.0,100.0,36.0,29.0,68.0,63.0,20.14,0.06,0.0,0.0,1.0,0.16,1.17,0.992,0.0,8.0,0.0,0.14,2.22,0.0,0.0,7.0,0.53,4.75,0.194,0.0,0.0,7.0,7.41,17.12,0.03,0.08,0.11,0.22,1.21,0.06,0.4,0.31,0.86,0.61,0.1,0.78,4.24,0.2,2.72,2.54,1.41,1.07,3.02,2.14,D,59.0,42.0,51.0,72.0,70.0,25.0,76.0,5.0,71.0,95.0,94.0
8475798,2025,Mikael Granlund,ANA,C,5on5,58,46674.0,989.0,41.23,8.0,6.0,8.0,22.0,68.0,8.44,26.0,16.0,37.0,5.0,10.0,34.0,39.31,32.36,0.55,0.52,0.53,66725.0,19.0,12.0,10.0,41.0,117.0,32.0,21.0,48.0,41.0,19.17,2.93,6.0,9.0,30.0,6.57,22.36,0.84,3.18,4.0,1.0,1.51,1.58,0.0,0.0,2.0,0.19,1.98,0.136,0.0,0.0,3.0,8.24,13.41,0.14,0.1,0.14,0.38,1.17,0.15,0.45,0.28,0.64,0.59,0.62,1.7,5.24,0.65,3.03,2.5,2.01,1.23,2.85,2.62,F,72.0,55.0,67.0,39.0,47.0,18.0,77.0,71.0,84.0,74.0,80.0
8481557,2025,Matt Boldy,MIN,L,5on5,76,64687.0,1170.0,87.86,22.0,11.0,7.0,40.0,161.0,16.01,57.0,20.0,64.0,9.0,20.0,42.0,47.38,42.95,0.52,0.51,0.52,93795.0,42.0,23.0,20.0,85.0,254.0,60.0,34.0,86.0,58.0,20.57,3.57,10.0,24.0,53.0,6.68,36.78,0.93,5.3,12.0,3.0,0.61,1.66,3.0,3.0,14.0,1.24,1.5,0.098,1.43,0.0,7.0,6.6,14.19,0.29,0.14,0.09,0.53,2.12,0.21,0.75,0.26,0.84,0.55,1.22,2.23,8.96,0.89,2.64,2.39,3.17,1.11,3.56,2.34,F,92.0,96.0,88.0,95.0,88.0,32.0,69.0,62.0,69.0,68.0,73.0
8477503,2025,Max Domi,TOR,C,5on5,80,62271.0,1336.0,19.56,7.0,11.0,4.0,22.0,86.0,6.86,35.0,24.0,78.0,26.0,18.0,32.0,39.37,50.78,0.44,0.45,0.45,71432.0,12.0,19.0,5.0,36.0,118.0,37.0,26.0,89.0,35.0,14.88,1.29,1.0,7.0,21.0,1.32,8.49,0.894,4.08,0.0,0.0,0.59,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.97,0.09,0.14,0.05,0.28,1.08,0.09,0.44,0.3,0.98,0.4,0.4,1.27,4.97,0.4,2.28,2.94,2.02,1.39,4.51,1.85,F,50.0,33.0,40.0,31.0,13.0,19.0,85.0,42.0,20.0,21.0,19.0
8478474,2025,Lawson Crouse,UTA,L,5on5,81,60476.0,1417.0,52.33,20.0,13.0,4.0,37.0,117.0,16.19,198.0,13.0,44.0,12.0,9.0,36.0,47.43,43.04,0.52,0.53,0.53,80661.0,24.0,14.0,6.0,44.0,141.0,212.0,15.0,51.0,52.0,16.6,1.0,1.0,1.0,9.0,1.4,8.3,0.835,0.74,12.0,0.0,1.22,2.62,1.0,2.0,11.0,1.12,2.41,0.091,0.57,0.0,1.0,6.83,12.44,0.25,0.16,0.05,0.46,1.44,0.2,2.44,0.16,0.54,0.44,1.19,2.2,6.96,0.96,2.82,2.56,11.79,0.77,2.62,2.14,F,84.0,95.0,87.0,77.0,93.0,82.0,40.0,53.0,69.0,81.0,80.0
