"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"219","Nathan MacKinnon","COL","C","80","1313.6166666667","31","44","29","15","75","75.00","220","14.09","20.21","385","296","216","80","9","28","16","8","8","0","0","18","129","20","55","63","27","541","555","49.36"
"120","Nikita Kucherov","T.B","R","76","1111.9","25","44","25","19","69","80.23","149","16.78","15.47","351","250","161","52","3","29","26","13","13","0","0","21","76","18","31","50","26","0","0","-"
"127","Mark Scheifele","WPG","C","82","1367","25","40","27","13","65","82.28","108","23.15","16.44","224","181","173","77","3","18","25","10","9","1","0","24","102","29","28","94","43","456","529","46.29"
"908","Macklin Celebrini","S.J","C","82","1311.7333333333","26","36","25","11","62","84.93","167","15.57","17.1","318","242","207","65","4","34","34","17","17","0","0","29","116","36","47","79","49","521","582","47.23"
"451","Martin Necas","COL","C","78","1268.95","25","36","21","15","61","67.78","134","18.66","14.71","281","194","161","61","3","19","24","12","12","0","0","26","93","17","79","88","23","7","6","53.85"
"300","Connor McDavid","EDM","C","82","1389.2833333333","24","33","19","14","57","76.00","181","13.26","21.88","323","266","214","92","4","34","36","18","18","0","0","43","109","25","34","77","27","386","391","49.68"
"262","David Pastrnak","BOS","R","77","1189.7","16","38","32","6","54","83.08","170","9.41","15.1","353","250","162","55","6","32","42","20","20","0","0","29","110","26","75","63","30","2","4","33.33"
"264","Ivan Barbashev","VGK","L","82","1211.5666666667","20","34","20","14","54","76.06","116","17.24","14.82","216","178","149","81","5","16","14","7","7","0","0","17","84","14","136","81","36","8","36","18.18"
"297","Kyle Connor","WPG","L","82","1317.4","24","30","19","11","54","72.97","195","12.31","18.92","352","279","213","73","2","32","16","8","8","0","0","15","53","17","34","36","17","0","0","-"
"340","Artemi Panarin","L.A, NYR","L","78","1257.6166666667","20","31","15","16","51","73.91","133","15.04","11.4","300","215","150","34","7","21","18","9","9","0","0","17","85","19","11","28","14","0","0","-"
"331","Mitch Marner","VGK","R","81","1106.5333333333","18","31","21","10","49","81.67","111","16.22","11.85","239","175","132","56","4","20","14","7","7","0","0","18","76","27","23","57","35","144","205","41.26"
"374","Clayton Keller","UTA","R","82","1206.3333333333","14","35","27","8","49","68.06","158","8.86","16.2","290","234","151","61","1","25","30","15","15","0","0","24","82","21","6","67","28","11","16","40.74"
"407","Brandon Hagel","T.B","L","71","983.13333333333","23","26","18","8","49","74.24","146","15.75","19.63","342","237","202","87","4","33","45","20","19","1","0","25","56","20","37","81","23","20","21","48.78"
"566","Cole Caufield","MTL","R","81","1086.15","33","16","11","5","49","73.13","165","20.00","20.66","308","252","174","66","5","34","14","7","7","0","0","15","48","18","48","46","18","5","10","33.33"
"197","Jake Guentzel","T.B","C","81","1104.7333333333","21","26","17","9","47","69.12","130","16.15","18.53","250","195","183","95","5","36","26","13","13","0","0","20","51","14","37","57","31","125","125","50.00"
"234","Anthony Mantha","PIT","R","81","996.53333333333","25","22","11","11","47","78.33","111","22.52","13.18","208","157","124","65","5","22","39","18","17","1","0","17","72","17","52","37","37","12","22","35.29"
"256","Alex Tuch","BUF","R","79","1082.4","20","27","13","14","47","71.21","142","14.08","14.53","276","231","135","60","0","20","47","18","16","1","1","10","50","27","68","36","57","30","27","52.63"
"301","Jack Eichel","VGK","C","74","1080.3333333333","21","26","16","10","47","71.21","173","12.14","15.27","309","233","144","53","2","30","16","7","7","0","0","16","96","18","31","42","31","451","473","48.81"
"323","Zach Werenski","CBJ","D","75","1550.65","17","30","13","17","47","58.02","189","8.99","9.09","450","287","152","13","5","38","18","9","9","0","0","10","107","27","27","90","78","0","0","-"
"400","Tage Thompson","BUF","C","81","1179.8333333333","31","15","12","3","46","77.97","183","16.94","19.84","364","271","176","71","8","39","29","12","11","1","0","21","58","21","80","62","41","316","377","45.60"
"447","Jason Robertson","DAL","L","82","1228.1166666667","25","21","12","9","46","71.88","202","12.38","22.16","372","286","219","84","4","46","26","13","13","0","0","21","91","21","44","74","26","0","1","0.00"
"493","Evan Bouchard","EDM","D","82","1465.8","9","37","19","18","46","52.87","139","6.47","7.7","308","203","98","11","0","36","26","13","13","0","0","13","95","22","28","83","73","0","0","-"
"780","Lane Hutson","MTL","D","82","1501.8666666667","7","39","20","19","46","50.00","91","7.69","6.75","230","127","91","22","3","19","28","14","14","0","0","16","75","34","28","154","113","0","0","-"
"263","Adrian Kempe","L.A","R","81","1150.8","25","20","12","8","45","81.82","158","15.82","13.95","336","230","154","54","8","27","40","19","19","0","0","12","54","22","118","43","32","36","59","37.89"
"372","Alex DeBrincat","DET","R","82","1146.6","17","28","14","14","45","76.27","188","9.04","19.1","391","288","183","53","7","33","12","6","6","0","0","9","72","37","36","54","35","10","23","30.30"
"444","Nick Suzuki","MTL","C","82","1203.2666666667","12","33","24","9","45","62.50","108","11.11","12.98","234","178","124","48","10","21","12","6","6","0","0","6","54","22","57","84","49","505","477","51.43"
"505","Rasmus Dahlin","BUF","D","77","1435.9666666667","10","35","19","16","45","57.69","131","7.63","8.1","297","194","99","28","1","25","74","30","27","2","1","25","97","20","54","123","64","0","0","-"
"849","Connor Bedard","CHI","C","69","1101.0166666667","17","28","21","7","45","84.91","147","11.56","15.54","278","227","145","51","8","15","42","21","21","0","0","26","62","23","30","67","24","272","323","45.71"
"250","William Nylander","TOR","R","65","969.83333333333","17","27","18","9","44","74.58","104","16.35","11.13","209","161","101","51","7","15","14","7","7","0","0","9","56","25","11","29","20","28","42","40.00"
"5","Sidney Crosby","PIT","C","68","1007.3166666667","16","27","16","11","43","74.14","99","16.16","13.56","185","153","110","58","8","17","30","15","15","0","0","15","62","21","55","28","28","566","507","52.75"
"247","Leon Draisaitl","EDM","C","65","1041.1333333333","16","27","19","8","43","69.35","97","16.49","11.32","192","155","96","35","2","15","22","11","11","0","0","11","83","25","31","48","13","438","346","55.87"
"258","Nick Schmaltz","UTA","C","82","1160.2166666667","19","24","14","10","43","64.18","132","14.39","14.73","269","193","147","65","8","24","20","10","10","0","0","18","82","38","18","65","44","367","432","45.93"
"715","Dylan Guenther","UTA","R","79","1023.6166666667","28","15","13","2","43","76.79","167","16.77","17.11","365","274","179","73","7","32","28","14","14","0","0","10","61","14","62","90","24","22","30","42.31"
"41","Ryan O'Reilly","NSH","C","81","1150.3333333333","17","25","15","10","42","73.68","102","16.67","16.32","177","158","133","92","3","14","14","7","7","0","0","9","40","37","16","50","46","484","381","55.95"
"278","Viktor Arvidsson","BOS","L","69","820.03333333333","18","24","12","12","42","77.78","138","13.04","14.93","295","220","143","65","5","28","16","7","7","0","0","11","52","14","23","88","32","3","4","42.86"
"313","Travis Konecny","PHI","R","77","1085.7333333333","20","22","13","9","42","77.78","120","16.67","11.47","218","173","112","55","5","17","43","20","19","1","0","19","86","13","99","67","29","15","20","42.86"
"442","Gabriel Vilardi","WPG","C","82","1216.35","16","26","12","14","42","64.62","100","16.00","16.19","198","161","148","78","2","22","22","10","10","0","0","30","55","12","20","68","32","29","44","39.73"
