"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"107","Jean-Gabriel Pageau","NYI","C","74","179.46666666667","3","4","4","0","7","100.00","15","20.00","1.79","25","22","14","8","5","1","0","0","0","0","0","2","2","3","7","3","11","130","91","58.82"
"288","Sebastian Aho","CAR","C","79","133.6","2","4","2","2","6","66.67","18","11.11","2.81","24","22","23","11","2","3","0","0","0","0","0","3","11","6","2","4","3","25","30","45.45"
"457","Ryan McLeod","BUF","C","81","197.08333333333","5","1","1","0","6","75.00","10","50.00","2.47","16","14","9","5","4","0","0","0","0","0","0","2","7","12","2","0","6","114","150","43.18"
"587","Seth Jarvis","CAR","C","71","111.68333333333","4","2","2","0","6","75.00","16","25.00","3.33","23","22","20","11","0","1","0","0","0","0","0","1","7","7","0","4","6","6","8","42.86"
"22","Mikael Backlund","CGY","C","82","201.95","1","4","4","0","5","83.33","23","4.35","1.73","32","28","11","7","1","3","2","1","1","0","0","0","3","2","1","4","2","141","152","48.12"
"127","Joel Armia","L.A","R","67","93.25","4","1","1","0","5","100.00","10","40.00","2.42","11","11","10","7","1","1","0","0","0","0","0","0","2","5","5","2","3","2","6","25.00"
"241","Alex Tuch","BUF","R","79","192.73333333333","3","2","2","0","5","71.43","13","23.08","2.03","23","21","14","9","4","1","2","1","1","0","0","4","6","7","4","1","25","11","18","37.93"
"106","Blake Coleman","CGY","L","69","149.8","4","0","0","0","4","100.00","15","26.67","2.31","27","19","21","9","0","2","4","2","2","0","0","1","3","7","5","3","12","5","6","45.45"
"171","Josh Anderson","MTL","R","72","161.9","2","2","2","0","4","100.00","14","14.29","1.7","20","18","14","7","5","1","8","4","4","0","0","3","3","3","5","0","9","3","1","75.00"
"232","Sam Reinhart","FLA","C","64","126.56666666667","3","1","1","0","4","80.00","14","21.43","2.02","24","19","18","8","1","4","2","1","1","0","0","1","4","1","3","2","12","9","12","42.86"
"316","Anthony Cirelli","T.B","C","71","186.76666666667","2","2","2","0","4","100.00","15","13.33","1.94","17","16","11","6","2","0","2","1","1","0","0","2","3","6","2","0","13","86","137","38.57"
"328","Troy Terry","ANA","R","61","56.95","2","2","2","0","4","100.00","13","15.38","1.05","17","16","12","3","1","1","0","0","0","0","0","1","5","0","0","1","1","1","1","50.00"
"421","Ryan Poehling","ANA","C","75","186.26666666667","2","2","2","0","4","100.00","10","20.00","1.18","20","14","10","6","1","3","2","1","1","0","0","3","9","4","1","2","25","93","136","40.61"
"453","Joel Farabee","CGY","L","82","165.4","3","1","1","0","4","66.67","12","25.00","1.95","18","15","10","6","2","0","2","1","1","0","0","6","3","3","0","1","8","5","6","45.45"
