"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"278","Connor McDavid","EDM","C","82","295.95","13","41","24","17","54","84.38","82","15.85","13.08","126","106","84","33","0","19","6","3","3","0","0","6","15","2","3","13","0","37","37","50.00"
"412","Nick Suzuki","MTL","C","82","290.51666666667","11","32","15","17","43","84.31","47","23.40","10.34","94","80","60","26","0","13","12","2","1","0","1","3","11","2","1","6","0","148","150","49.66"
"229","Leon Draisaitl","EDM","C","65","233.73333333333","16","26","15","11","42","77.78","69","23.19","11.8","141","109","77","23","0","14","2","1","1","0","0","0","16","0","2","4","0","119","80","59.80"
"665","Wyatt Johnston","DAL","C","82","289.13333333333","27","15","8","7","42","70.00","83","32.53","18.7","129","108","123","75","0","20","8","4","4","0","0","0","7","1","1","11","1","33","32","50.77"
"415","Jason Robertson","DAL","L","82","319.18333333333","15","26","10","16","41","65.08","71","21.13","11.31","131","104","93","32","0","17","6","3","3","0","0","1","12","3","2","9","0","0","0","-"
"110","Nikita Kucherov","T.B","R","76","323.63333333333","8","29","18","11","37","78.72","55","14.55","6.05","123","85","41","5","0","5","12","5","5","0","0","5","34","1","2","4","1","0","0","-"
"116","Mika Zibanejad","NYR","C","81","266.41666666667","16","19","12","7","35","77.78","55","29.09","10.47","115","97","56","25","0","11","0","0","0","0","0","0","14","3","0","4","2","15","22","40.54"
"457","Quinn Hughes","MIN, VAN","D","74","308.93333333333","3","32","14","18","35","74.47","43","6.98","4.3","115","73","46","3","0","14","2","1","1","0","0","1","12","3","0","1","5","0","0","-"
"284","Mikko Rantanen","DAL","R","64","251.81666666667","6","28","17","11","34","70.83","44","13.64","6.98","85","69","57","16","0","8","4","2","2","0","0","1","7","2","2","3","0","11","14","44.00"
"244","David Pastrnak","BOS","R","77","281.16666666667","10","23","17","6","33","71.74","70","14.29","9.41","152","103","59","16","0","16","4","2","2","0","0","1","17","3","2","8","0","0","0","-"
"460","Evan Bouchard","EDM","D","82","298","7","26","10","16","33","53.23","59","11.86","5.84","114","79","55","3","0","9","2","1","1","0","0","0","12","5","0","2","6","0","0","-"
"808","Macklin Celebrini","S.J","C","82","300.48333333333","8","25","15","10","33","78.57","73","10.96","8.37","157","111","83","16","0","16","8","4","4","0","0","4","22","0","3","7","0","66","51","56.41"
"325","Kirill Kaprizov","MIN","L","78","311.08333333333","19","13","9","4","32","65.31","87","21.84","18.03","169","145","97","42","0","29","4","2","2","0","0","1","14","4","1","10","1","0","0","-"
"181","Jake Guentzel","T.B","C","81","330.78333333333","8","22","10","12","30","66.67","58","13.79","12.74","86","79","71","49","0","7","23","6","4","1","1","3","14","1","2","9","1","62","75","45.26"
"203","Nathan MacKinnon","COL","C","80","343.76666666667","11","19","13","6","30","69.77","98","11.22","11.9","167","132","81","26","0","15","17","3","1","1","1","1","22","4","1","8","0","100","52","65.79"
"436","Drake Batherson","OTT","R","79","252.01666666667","13","17","8","9","30","65.22","40","32.50","10","75","69","54","34","0","15","2","1","1","0","0","1","14","1","1","5","0","2","0","100.00"
"534","Matt Boldy","MIN","L","76","294.93333333333","11","19","10","9","30","66.67","63","17.46","9.01","136","104","64","20","0","10","8","4","4","0","0","2","14","3","0","11","0","21","28","42.86"
"552","Pavel Dorofeyev","VGK","R","82","282.3","20","10","7","3","30","63.83","78","25.64","13.37","134","108","90","29","0","17","2","1","1","0","0","0","4","4","0","5","1","0","0","-"
"111","Ryan Nugent-Hopkins","EDM","C","72","253.95","11","18","8","10","29","50.00","36","30.56","6.44","70","53","61","22","0","8","0","0","0","0","0","0","8","1","1","3","2","23","12","65.71"
"233","Nikolaj Ehlers","CAR","L","82","238.45","10","19","10","9","29","70.73","49","20.41","5.61","93","64","37","7","0","6","2","1","1","0","0","1","12","1","0","4","0","6","5","54.55"
"425","Cale Makar","COL","D","75","313.76666666667","4","25","11","14","29","70.73","54","7.41","5.28","154","98","50","2","0","11","0","0","0","0","0","0","9","3","1","4","4","0","0","-"
"468","Andrei Svechnikov","CAR","R","79","235.01666666667","12","17","8","9","29","64.44","54","22.22","8.82","102","82","64","22","0","11","2","1","1","0","0","0","10","0","2","8","0","1","2","33.33"
"524","Dylan Cozens","OTT","C","82","259.9","13","16","7","9","29","61.70","57","22.81","7.98","96","75","75","28","0","11","2","1","1","0","0","2","7","0","7","2","0","60","47","56.07"
"528","Cole Caufield","MTL","R","81","273.1","11","18","12","6","29","63.04","63","17.46","13.25","111","95","73","30","0","12","0","0","0","0","0","1","4","1","0","7","0","1","0","100.00"
"601","Tim Stützle","OTT","C","80","274.78333333333","9","20","7","13","29","61.70","42","21.43","5.11","83","56","52","9","0","8","0","0","0","0","0","2","13","4","2","10","0","32","25","56.14"
"279","Jack Eichel","VGK","C","74","269.01666666667","1","27","6","21","28","62.22","52","1.92","7.11","104","85","38","6","0","11","2","1","1","0","0","3","14","3","1","8","0","32","35","47.76"
"418","Miro Heiskanen","DAL","D","77","267.78333333333","2","26","9","17","28","50.00","25","8.00","1.91","51","30","28","0","0","8","2","1","1","0","0","1","4","6","2","3","6","0","0","-"
"529","Moritz Seider","DET","D","82","263.18333333333","3","25","13","12","28","65.12","39","7.69","3.14","89","58","33","2","0","5","4","2","2","0","0","1","7","4","2","4","3","0","0","-"
"729","Juraj Slafkovský","MTL","L","82","270.23333333333","15","13","7","6","28","59.57","52","28.85","11.89","96","79","73","42","0","6","4","2","2","0","0","2","12","4","1","8","1","8","18","30.77"
"92","Mark Stone","VGK","R","60","207.35","9","18","14","4","27","65.85","37","24.32","12.75","67","63","64","58","0","11","0","0","0","0","0","0","5","2","0","2","0","0","0","-"
"287","Sebastian Aho","CAR","C","79","249.48333333333","7","20","10","10","27","56.25","44","15.91","7.14","98","71","59","22","1","12","2","1","1","0","0","1","19","1","2","3","0","78","69","53.06"
"347","Clayton Keller","UTA","R","82","270.56666666667","3","24","13","11","27","69.23","41","7.32","6","93","73","32","8","0","9","6","3","3","0","0","0","18","4","1","6","3","1","3","25.00"
"582","Lucas Raymond","DET","L","80","260","7","20","11","9","27","67.50","48","14.58","6.15","83","60","48","10","0","13","4","2","2","0","0","0","9","2","2","7","1","0","0","-"
"26","Steven Stamkos","NSH","C","82","262.03333333333","14","12","5","7","26","61.90","66","21.21","8.71","109","88","44","11","0","7","8","4","4","0","0","2","9","1","4","5","1","63","44","58.88"
"30","Erik Karlsson","PIT","D","75","250.83333333333","4","22","9","13","26","63.41","42","9.52","4.12","102","68","30","1","0","10","0","0","0","0","0","1","10","3","0","3","2","0","0","-"
"150","Filip Forsberg","NSH","L","82","248.58333333333","11","15","10","5","26","66.67","54","20.37","7.58","114","83","53","16","0","8","6","3","3","0","0","1","19","3","2","3","0","0","1","0.00"
"270","Darren Raddysh","T.B","D","73","273.65","10","16","5","11","26","63.41","55","18.18","5.77","120","85","41","2","0","11","6","3","3","0","0","0","6","1","3","3","5","0","0","-"
"368","Mikhail Sergachev","UTA","D","78","249.03333333333","5","21","6","15","26","68.42","39","12.82","2.54","68","45","24","0","0","6","2","1","1","0","0","0","8","3","3","2","9","0","0","-"
"147","Tomas Hertl","VGK","C","82","284.31666666667","13","12","6","6","25","50.00","68","19.12","16.12","132","108","129","84","0","21","2","1","1","0","0","1","5","0","1","5","0","160","109","59.48"
"228","Sam Reinhart","FLA","C","64","266.7","11","14","12","2","25","65.79","62","17.74","16.48","125","103","100","60","1","16","0","0","0","0","0","0","6","0","3","7","0","17","28","37.78"
"33","Roman Josi","NSH","D","68","222.23333333333","4","20","8","12","24","68.57","40","10.00","2.99","80","51","34","1","1","7","4","2","2","0","0","0","6","3","0","3","3","0","0","-"
"88","Bryan Rust","PIT","R","72","241.3","8","16","8","8","24","60.00","46","17.39","9.32","94","77","71","26","0","12","0","0","0","0","0","1","12","2","3","8","0","0","1","0.00"
"235","Dylan Larkin","DET","C","74","241.6","14","10","2","8","24","58.54","65","21.54","14.91","122","100","96","57","0","23","8","4","4","0","0","1","5","1","0","5","0","157","107","59.47"
"308","Mitch Marner","VGK","R","81","291.56666666667","5","19","12","7","24","48.00","42","11.90","4.18","95","59","52","7","0","14","6","3","3","0","0","0","20","4","0","6","2","2","3","40.00"
"310","Jake DeBrusk","VAN","L","81","250.71666666667","19","5","2","3","24","63.16","77","24.68","18.74","110","106","104","86","0","24","0","0","0","0","0","3","2","0","3","4","0","4","4","50.00"
"341","Adam Fox","NYR","D","55","181.91666666667","5","19","8","11","24","70.59","24","20.83","1.76","65","38","25","0","0","5","4","2","2","0","0","0","5","8","0","1","3","0","0","-"
"370","Tage Thompson","BUF","C","81","283.96666666667","6","18","10","8","24","61.54","66","9.09","9.46","144","105","61","19","0","2","6","2","2","0","0","3","10","5","0","3","0","49","50","49.49"
"400","Morgan Geekie","BOS","C","81","242.86666666667","12","12","4","8","24","57.14","55","21.82","8.09","102","86","43","19","0","10","4","2","2","0","0","2","6","3","5","6","2","17","17","50.00"
"410","Gabriel Vilardi","WPG","C","82","252.21666666667","13","11","7","4","24","70.59","41","31.71","10.55","79","61","70","48","0","9","2","1","1","0","0","1","6","2","0","7","0","12","12","50.00"
"419","Martin Necas","COL","C","78","319.18333333333","9","15","6","9","24","58.54","60","15.00","9.49","109","94","42","19","0","4","0","0","0","0","0","2","22","4","2","12","1","1","4","20.00"
"654","Dylan Guenther","UTA","R","79","257.18333333333","9","15","7","8","24","61.54","57","15.79","8.47","132","106","50","8","0","6","0","0","0","0","0","0","3","0","1","5","0","3","6","33.33"
"5","Sidney Crosby","PIT","C","68","210.48333333333","10","13","8","5","23","69.70","49","20.41","9.25","80","66","53","30","0","10","4","2","2","0","0","0","10","1","3","2","0","153","93","62.20"
"317","Artemi Panarin","L.A, NYR","L","78","263.56666666667","4","19","10","9","23","67.65","71","5.63","7.41","147","110","64","7","0","11","0","0","0","0","0","0","12","3","0","2","1","0","0","-"
"343","Charlie McAvoy","BOS","D","69","213.4","2","21","11","10","23","58.97","20","10.00","2.36","56","39","16","3","0","5","10","5","5","0","0","1","1","4","1","4","1","0","0","-"
"345","Alex DeBrincat","DET","R","82","272.7","15","8","4","4","23","52.27","71","21.13","13.86","142","114","102","41","0","15","0","0","0","0","0","1","11","2","1","4","0","6","7","46.15"
"406","Nico Hischier","N.J","C","82","250.08333333333","11","12","5","7","23","62.16","68","16.18","12.64","106","87","90","48","0","17","4","2","2","0","0","0","6","4","1","7","1","159","96","62.35"
"489","Kirill Marchenko","CBJ","R","76","229.13333333333","6","17","7","10","23","71.88","48","12.50","6.82","91","71","47","6","1","8","0","0","0","0","0","0","8","0","2","8","0","0","0","-"
"526","Trevor Zegras","PHI","C","81","242.15","10","13","6","7","23","76.67","47","21.28","7.36","96","71","53","16","0","9","16","4","3","0","1","2","6","0","4","12","0","18","40","31.03"
"535","Jack Hughes","N.J","C","61","179.68333333333","4","19","13","6","23","76.67","44","9.09","5.05","73","54","41","16","0","6","2","1","1","0","0","0","18","2","1","3","0","1","8","11.11"
"4","Evgeni Malkin","PIT","C","56","176.76666666667","4","18","8","10","22","68.75","37","10.81","6.14","62","51","36","17","0","10","0","0","0","0","0","2","11","2","2","4","1","8","17","32.00"
"117","Mark Scheifele","WPG","C","82","259.28333333333","7","15","5","10","22","62.86","41","17.07","5.74","62","54","38","15","0","9","0","0","0","0","0","0","21","0","2","7","0","87","90","49.15"
"232","William Nylander","TOR","R","65","182.31666666667","7","15","13","2","22","75.86","30","23.33","4.31","64","45","27","12","1","11","0","0","0","0","0","0","8","1","0","2","1","1","7","12.50"
"277","Pavel Zacha","BOS","C","78","230.8","11","11","5","6","22","55.00","32","34.38","10.3","67","60","61","39","0","4","2","1","1","0","0","0","8","0","4","5","0","57","49","53.77"
"409","Elias Pettersson","VAN","C","74","237.8","4","18","7","11","22","59.46","33","12.12","6.13","85","63","36","13","0","7","4","2","2","0","0","1","14","0","2","8","4","134","110","54.92"
"472","Rasmus Dahlin","BUF","D","77","267.2","6","16","7","9","22","59.46","51","11.76","4.18","115","74","47","5","0","11","2","1","1","0","0","1","10","6","3","2","4","0","0","-"
"595","Jake Sanderson","OTT","D","67","217.1","5","17","6","11","22","52.38","47","10.64","4.77","92","65","30","7","0","10","0","0","0","0","0","0","4","1","1","2","6","0","0","-"
"41","John Tavares","TOR","C","82","222.3","12","9","7","2","21","67.74","54","22.22","11.13","96","75","82","46","0","10","2","1","1","0","0","1","7","3","5","4","0","135","102","56.96"
"67","Mats Zuccarello","MIN","R","59","214","6","15","5","10","21","61.76","33","18.18","5.1","70","54","41","12","0","4","2","1","1","0","0","2","12","3","0","3","1","2","2","50.00"
"201","Tyler Bertuzzi","CHI","L","79","254.41666666667","11","10","6","4","21","65.63","48","22.92","12.95","79","73","74","60","0","10","10","1","0","0","1","1","8","0","2","10","0","9","13","40.91"
"280","Vince Dunn","SEA","D","81","221.95","2","19","12","7","21","75.00","46","4.35","3.29","89","60","25","2","1","10","6","3","3","0","0","0","8","5","1","1","1","0","0","-"
